Transaction_ID,Transaction_DateTime,Product_ID,Product_Name,Category,Brand,Model,Product_Type,Quantity,Total_Amount,Unit_Price,Customer_ID,Customer_Age,Customer_Gender,Order_Type,Delivery_Time_Min,Payment_Method,Customer_Rating,Supplier_ID,Discount_Applied,Staff_ID,Transaction_Status,Inventory_Level
T00001,6/11/2024 3:06,P5338,Apple Power Bank,Power Bank,Apple,Apple 11,Accessory,2,296.15,153,C844,49,Male,Lazada,60,QR Pay,4.2,S001,9.85,ST003,Completed,83
T00002,15/12/2023 5:40,P7985,Xiaomi Screen Protector,Screen Protector,Xiaomi,Xiaomi 16,Accessory,2,37.73,20,C210,41,Male,Lazada,30,Cash,4.8,S004,2.27,ST009,Completed,50
T00003,18/4/2025 22:03,P4262,Samsung 20 Camera Replacement,Camera,Samsung,Samsung 20,Repair,1,217,217,C867,38,Female,Shopee,56,Credit Card,3.2,S003,0,ST002,Completed,95
T00004,25/7/2025 3:20,P3302,Oppo 22 Motherboard Replacement,Motherboard,Oppo,Oppo 22,Repair,1,151,151,C250,52,Male,Walk-In,99,Cash,3.4,S003,0,ST005,Refunded,98
T00005,6/1/2023 22:25,P7273,Xiaomi Charger,Charger,Xiaomi,Xiaomi 23,Accessory,3,589.45,199,C491,27,Male,Walk-In,30,Cash,4.5,S002,7.55,ST003,Completed,5
T00006,6/7/2024 10:20,P1414,Xiaomi 10 Screen Replacement,Screen,Xiaomi,Xiaomi 10,Repair,1,348,348,C765,43,Male,Walk-In,63,QR Pay,3.5,S003,0,ST007,Cancelled,97
T00007,5/6/2024 5:53,P7126,Apple 11 Battery Replacement,Battery,Apple,Apple 11,Repair,1,234,234,C814,20,Male,Shopee,64,QR Pay,3.1,S003,0,ST001,Completed,79
T00008,18/6/2025 8:12,P1183,Samsung 11 Speaker Replacement,Speaker,Samsung,Samsung 11,Repair,1,347,347,C610,19,Male,Walk-In,87,Credit Card,3.6,S004,0,ST001,Completed,62
T00009,1/12/2024 0:06,P3357,Vivo Power Bank,Power Bank,Vivo,Vivo 21,Accessory,1,109.14,111,C119,57,Male,Walk-In,0,QR Pay,3.2,S003,1.86,ST001,Completed,33
T00010,22/6/2025 23:45,P4763,Oppo Screen Protector,Screen Protector,Oppo,Oppo 16,Accessory,3,271.24,91,C216,45,Male,Shopee,60,Cash,3.6,S003,1.76,ST005,Completed,47
T00011,11/7/2024 6:02,P4362,Xiaomi 20 Battery Replacement,Battery,Xiaomi,Xiaomi 20,Repair,1,284,284,C348,23,Female,Lazada,104,QR Pay,4.7,S003,0,ST004,Completed,72
T00012,20/5/2024 2:02,P3702,Oppo Cable,Cable,Oppo,Oppo 10,Accessory,2,149.23,78,C445,18,Male,Lazada,30,Cash,3.9,S003,6.77,ST010,Completed,67
T00013,13/5/2023 8:17,P4528,Xiaomi Case,Case,Xiaomi,Xiaomi 23,Accessory,3,83.62,28,C462,39,Female,Shopee,0,QR Pay,3.3,S002,0.38,ST001,Completed,68
T00014,27/2/2023 7:03,P5415,Apple Power Bank,Power Bank,Apple,Apple 18,Accessory,2,42.14,25,C655,29,Female,Walk-In,0,Online Banking,4.5,S003,7.86,ST006,Completed,84
T00015,5/7/2025 2:46,P3968,Xiaomi Screen Protector,Screen Protector,Xiaomi,Xiaomi 14,Accessory,2,170.73,90,C913,55,Female,Walk-In,0,Cash,4.2,S004,9.27,ST004,Completed,33
T00016,29/7/2025 7:01,P1339,Vivo 12 Screen Replacement,Screen,Vivo,Vivo 12,Repair,1,172,172,C151,44,Female,Walk-In,143,QR Pay,3.1,S003,0,ST004,Completed,3
T00017,12/11/2024 8:18,P4845,Huawei 22 Camera Replacement,Camera,Huawei,Huawei 22,Repair,1,172,172,C201,58,Female,Shopee,92,QR Pay,3.6,S002,0,ST002,Completed,46
T00018,12/6/2023 1:12,P3532,Apple 25 Charging Port Replacement,Charging Port,Apple,Apple 25,Repair,1,184,184,C344,57,Female,Lazada,180,QR Pay,3.2,S002,0,ST006,Refunded,28
T00019,27/10/2024 6:19,P3885,Vivo 14 Screen Replacement,Screen,Vivo,Vivo 14,Repair,1,286,286,C848,60,Male,Lazada,32,Credit Card,4,S001,0,ST004,Completed,76
T00020,10/1/2023 9:53,P6847,Xiaomi 15 Battery Replacement,Battery,Xiaomi,Xiaomi 15,Repair,1,130,130,C712,57,Female,Walk-In,51,Online Banking,4.3,S002,0,ST010,Completed,18
T00021,23/6/2023 0:47,P3201,Huawei Power Bank,Power Bank,Huawei,Huawei 11,Accessory,1,149.02,158,C501,53,Male,Lazada,0,Credit Card,4.7,S003,8.98,ST009,Completed,11
T00022,21/3/2024 8:49,P2512,Huawei 11 Speaker Replacement,Speaker,Huawei,Huawei 11,Repair,1,179,179,C565,55,Female,Walk-In,150,Cash,4.8,S002,0,ST004,Cancelled,36
T00023,3/2/2024 6:00,P3695,Vivo 17 Camera Replacement,Camera,Vivo,Vivo 17,Repair,1,177,177,C662,28,Male,Shopee,150,Credit Card,3.7,S004,0,ST008,Completed,39
T00024,17/9/2025 2:31,P7599,Apple Power Bank,Power Bank,Apple,Apple 14,Accessory,2,227.63,117,C965,46,Female,Shopee,30,Cash,4.3,S004,6.37,ST008,Completed,86
T00025,26/11/2024 22:45,P5302,Oppo Headphones,Headphones,Oppo,Oppo 18,Accessory,2,155.04,81,C633,32,Female,Lazada,30,Credit Card,4.3,S002,6.96,ST001,Completed,4
T00026,26/11/2022 8:55,P3944,Oppo 25 Battery Replacement,Battery,Oppo,Oppo 25,Repair,1,310,310,C877,45,Female,Lazada,32,Cash,4.7,S001,0,ST002,Completed,82
